4*4	6.27455e-07	2.64645e-06	2.16437e-06	4.1981e-06
14*14	1.96079e-05	4.72659e-05	7.70288e-05	9.83676e-05
24*24	5.28777e-05	0.000177405	0.000234223	0.000346077
34*34	0.000226833	0.000529659	0.000790078	0.0011331
44*44	0.000473032	0.00122357	0.00160344	0.00233873
54*54	0.00113492	0.00262487	0.00328255	0.00428405
54*54	0.00264814	0.00460041	0.00512719	0.00783492
74*74	0.0040641	0.00693802	0.00964317	0.0141736
84*84	0.00558505	0.00907704	0.0142479	0.0194974
94*94	0.00875052	0.0144495	0.0240432	0.0334661
104*104	0.0137017	0.0197313	0.0339903	0.0437782
